"REF_DATE","GEO","DGUID","Level of study","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Canada","2016A000011124","College","Number of graduates","Number","223","units","0","v88836268","1.1.1","30800","","","","0"
"2000","Canada","2016A000011124","College","Average debt owed at graduation","Dollars","81","units","0","v88836269","1.1.2","12500","","","","0"
"2000","Canada","2016A000011124","College","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88836270","1.1.3","12","","","","0"
"2000","Canada","2016A000011124","College","Average debt owed at time of interview","Dollars","81","units","0","v88836271","1.1.4","8500","","","","0"
"2000","Canada","2016A000011124","College","Percentage of graduates with large debt at time of interview ($25,000 and over)","Percent","239","units","0","v88836272","1.1.5","6","","","","0"
"2000","Canada","2016A000011124","College","Percentage of debt paid off at time of interview","Percent","239","units","0","v88836273","1.1.6","33","","","","0"
"2000","Canada","2016A000011124","College","Employed at time of interview","Percent","239","units","0","v88836274","1.1.7","89","","","","0"
"2000","Canada","2016A000011124","College","Without personal income in the year prior to interview","Percent","239","units","0","v88836275","1.1.8","1","E","","","0"
"2000","Canada","2016A000011124","College","Average personal income in the year prior to interview","Dollars","81","units","0","v88836276","1.1.9","26800","","","","0"
"2000","Canada","2016A000011124","College","Average age at graduation","Years","308","units","0","v88836277","1.1.10","26","","","","0"
"2000","Canada","2016A000011124","College","Median age at graduation","Years","308","units","0","v88836278","1.1.11","24","","","","0"
"2000","Canada","2016A000011124","College","Married or living common law at time of interview","Percent","239","units","0","v88836279","1.1.12","37","","","","0"
"2000","Canada","2016A000011124","College","With dependent children at time of interview","Percent","239","units","0","v88836280","1.1.13","27","","","","0"
"2000","Canada","2016A000011124","College","With previous postsecondary education","Percent","239","units","0","v88836281","1.1.14","39","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Number of graduates","Number","223","units","0","v88836282","1.2.1","35400","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Average debt owed at graduation","Dollars","81","units","0","v88836283","1.2.2","19600","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88836284","1.2.3","32","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Average debt owed at time of interview","Dollars","81","units","0","v88836285","1.2.4","12700","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Percentage of graduates with large debt at time of interview ($25,000 and over)","Percent","239","units","0","v88836286","1.2.5","22","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Percentage of debt paid off at time of interview","Percent","239","units","0","v88836287","1.2.6","35","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Employed at time of interview","Percent","239","units","0","v88836288","1.2.7","90","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Without personal income in the year prior to interview","Percent","239","units","0","v88836289","1.2.8","1","E","","","0"
"2000","Canada","2016A000011124","Bachelor's","Average personal income in the year prior to interview","Dollars","81","units","0","v88836290","1.2.9","33500","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Average age at graduation","Years","308","units","0","v88836291","1.2.10","26","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Median age at graduation","Years","308","units","0","v88836292","1.2.11","24","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Married or living common law at time of interview","Percent","239","units","0","v88836293","1.2.12","38","","","","0"
"2000","Canada","2016A000011124","Bachelor's","With dependent children at time of interview","Percent","239","units","0","v88836294","1.2.13","17","","","","0"
"2000","Canada","2016A000011124","Bachelor's","With previous postsecondary education","Percent","239","units","0","v88836295","1.2.14","57","","","","0"
"2000","Canada","2016A000011124","Master's","Number of graduates","Number","223","units","0","v88836296","1.3.1","8000","","","","0"
"2000","Canada","2016A000011124","Master's","Average debt owed at graduation","Dollars","81","units","0","v88836297","1.3.2","18400","","","","0"
"2000","Canada","2016A000011124","Master's","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88836298","1.3.3","26","","","","0"
"2000","Canada","2016A000011124","Master's","Average debt owed at time of interview","Dollars","81","units","0","v88836299","1.3.4","11700","","","","0"
"2000","Canada","2016A000011124","Master's","Percentage of graduates with large debt at time of interview ($25,000 and over)","Percent","239","units","0","v88836300","1.3.5","21","","","","0"
"2000","Canada","2016A000011124","Master's","Percentage of debt paid off at time of interview","Percent","239","units","0","v88836301","1.3.6","36","","","","0"
"2000","Canada","2016A000011124","Master's","Employed at time of interview","Percent","239","units","0","v88836302","1.3.7","90","","","","0"
"2000","Canada","2016A000011124","Master's","Without personal income in the year prior to interview","Percent","239","units","0","v88836303","1.3.8","","F","","","0"
"2000","Canada","2016A000011124","Master's","Average personal income in the year prior to interview","Dollars","81","units","0","v88836304","1.3.9","41600","","","","0"
"2000","Canada","2016A000011124","Master's","Average age at graduation","Years","308","units","0","v88836305","1.3.10","29","","","","0"
"2000","Canada","2016A000011124","Master's","Median age at graduation","Years","308","units","0","v88836306","1.3.11","27","","","","0"
"2000","Canada","2016A000011124","Master's","Married or living common law at time of interview","Percent","239","units","0","v88836307","1.3.12","51","","","","0"
"2000","Canada","2016A000011124","Master's","With dependent children at time of interview","Percent","239","units","0","v88836308","1.3.13","23","","","","0"
"2000","Canada","2016A000011124","Master's","With previous postsecondary education","Percent","239","units","0","v88836309","1.3.14","95","","","","0"
