"REF_DATE","GEO","DGUID","Level of study","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Canada","2016A000011124","College","Number of graduates","Number","223","units","0","v90469943","1.1.1","101400","","","","0"
"2000","Canada","2016A000011124","College","Women+","Percent","239","units","0","v90469944","1.1.2","57","","","","0"
"2000","Canada","2016A000011124","College","Average age at graduation","Years","308","units","0","v90469945","1.1.3","27","","","","0"
"2000","Canada","2016A000011124","College","Median age at graduation","Years","308","units","0","v90469946","1.1.4","23","","","","0"
"2000","Canada","2016A000011124","College","Under age 25 at graduation","Percent","239","units","0","v90469947","1.1.5","59","","","","0"
"2000","Canada","2016A000011124","College","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v90469948","1.1.6","26","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Number of graduates","Number","223","units","0","v90469949","1.2.1","132600","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Women+","Percent","239","units","0","v90469950","1.2.2","61","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Average age at graduation","Years","308","units","0","v90469951","1.2.3","26","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Median age at graduation","Years","308","units","0","v90469952","1.2.4","23","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Under age 25 at graduation","Percent","239","units","0","v90469953","1.2.5","63","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v90469954","1.2.6","41","","","","0"
"2000","Canada","2016A000011124","Master's","Number of graduates","Number","223","units","0","v90469955","1.3.1","29200","","","","0"
"2000","Canada","2016A000011124","Master's","Women+","Percent","239","units","0","v90469956","1.3.2","58","","","","0"
"2000","Canada","2016A000011124","Master's","Average age at graduation","Years","308","units","0","v90469957","1.3.3","32","","","","0"
"2000","Canada","2016A000011124","Master's","Median age at graduation","Years","308","units","0","v90469958","1.3.4","29","","","","0"
"2000","Canada","2016A000011124","Master's","Under age 25 at graduation","Percent","239","units","0","v90469959","1.3.5","17","","","","0"
"2000","Canada","2016A000011124","Master's","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v90469960","1.3.6","28","","","","0"
"2000","Canada","2016A000011124","Doctorate","Number of graduates","Number","223","units","0","v90469961","1.4.1","4200","","","","0"
"2000","Canada","2016A000011124","Doctorate","Women+","Percent","239","units","0","v90469962","1.4.2","43","","","","0"
"2000","Canada","2016A000011124","Doctorate","Average age at graduation","Years","308","units","0","v90469963","1.4.3","35","","","","0"
"2000","Canada","2016A000011124","Doctorate","Median age at graduation","Years","308","units","0","v90469964","1.4.4","33","","","","0"
"2000","Canada","2016A000011124","Doctorate","Under age 25 at graduation","Percent","239","units","0","v90469965","1.4.5","4","","","","0"
"2000","Canada","2016A000011124","Doctorate","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v90469966","1.4.6","11","","","","0"
"2000","Newfoundland and Labrador","2016A000210","College","Number of graduates","Number","223","units","0","v90469967","2.1.1","1700","","","","0"
"2000","Newfoundland and Labrador","2016A000210","College","Women+","Percent","239","units","0","v90469968","2.1.2","50","","","","0"
"2000","Newfoundland and Labrador","2016A000210","College","Average age at graduation","Years","308","units","0","v90469969","2.1.3","26","","","","0"
"2000","Newfoundland and Labrador","2016A000210","College","Median age at graduation","Years","308","units","0","v90469970","2.1.4","23","","","","0"
"2000","Newfoundland and Labrador","2016A000210","College","Under age 25 at graduation","Percent","239","units","0","v90469971","2.1.5","63","","","","0"
"2000","Newfoundland and Labrador","2016A000210","College","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v90469972","2.1.6","19","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Bachelor's","Number of graduates","Number","223","units","0","v90469973","2.2.1","1800","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Bachelor's","Women+","Percent","239","units","0","v90469974","2.2.2","66","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Bachelor's","Average age at graduation","Years","308","units","0","v90469975","2.2.3","25","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Bachelor's","Median age at graduation","Years","308","units","0","v90469976","2.2.4","23","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Bachelor's","Under age 25 at graduation","Percent","239","units","0","v90469977","2.2.5","69","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Bachelor's","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v90469978","2.2.6","41","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Master's","Number of graduates","Number","223","units","0","v90469979","2.3.1","300","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Master's","Women+","Percent","239","units","0","v90469980","2.3.2","54","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Master's","Average age at graduation","Years","308","units","0","v90469981","2.3.3","31","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Master's","Median age at graduation","Years","308","units","0","v90469982","2.3.4","30","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Master's","Under age 25 at graduation","Percent","239","units","0","v90469983","2.3.5","17","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Master's","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v90469984","2.3.6","24","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Doctorate","Number of graduates","Number","223","units","0","v90469985","2.4.1","0","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Doctorate","Women+","Percent","239","units","0","v90469986","2.4.2","","x","","","0"
"2000","Newfoundland and Labrador","2016A000210","Doctorate","Average age at graduation","Years","308","units","0","v90469987","2.4.3","34","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Doctorate","Median age at graduation","Years","308","units","0","v90469988","2.4.4","34","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Doctorate","Under age 25 at graduation","Percent","239","units","0","v90469989","2.4.5","","..","","","0"
"2000","Newfoundland and Labrador","2016A000210","Doctorate","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v90469990","2.4.6","","x","","","0"
"2000","Prince Edward Island","2016A000211","College","Number of graduates","Number","223","units","0","v90469991","3.1.1","1000","","","","0"
"2000","Prince Edward Island","2016A000211","College","Women+","Percent","239","units","0","v90469992","3.1.2","50","","","","0"
"2000","Prince Edward Island","2016A000211","College","Average age at graduation","Years","308","units","0","v90469993","3.1.3","25","","","","0"
"2000","Prince Edward Island","2016A000211","College","Median age at graduation","Years","308","units","0","v90469994","3.1.4","23","","","","0"
"2000","Prince Edward Island","2016A000211","College","Under age 25 at graduation","Percent","239","units","0","v90469995","3.1.5","60","","","","0"
"2000","Prince Edward Island","2016A000211","College","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v90469996","3.1.6","15","","","","0"
"2000","Prince Edward Island","2016A000211","Bachelor's","Number of graduates","Number","223","units","0","v90469997","3.2.1","500","","","","0"
"2000","Prince Edward Island","2016A000211","Bachelor's","Women+","Percent","239","units","0","v90469998","3.2.2","62","","","","0"
"2000","Prince Edward Island","2016A000211","Bachelor's","Average age at graduation","Years","308","units","0","v90469999","3.2.3","25","","","","0"
"2000","Prince Edward Island","2016A000211","Bachelor's","Median age at graduation","Years","308","units","0","v90470000","3.2.4","22","","","","0"
"2000","Prince Edward Island","2016A000211","Bachelor's","Under age 25 at graduation","Percent","239","units","0","v90470001","3.2.5","71","","","","0"
"2000","Prince Edward Island","2016A000211","Bachelor's","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v90470002","3.2.6","49","","","","0"
"2000","Prince Edward Island","2016A000211","Master's","Number of graduates","Number","223","units","0","v90470003","3.3.1","0","E","","","0"
"2000","Prince Edward Island","2016A000211","Master's","Women+","Percent","239","units","0","v90470004","3.3.2","77","","","","0"
"2000","Prince Edward Island","2016A000211","Master's","Average age at graduation","Years","308","units","0","v90470005","3.3.3","33","","","","0"
"2000","Prince Edward Island","2016A000211","Master's","Median age at graduation","Years","308","units","0","v90470006","3.3.4","","x","","","0"
"2000","Prince Edward Island","2016A000211","Master's","Under age 25 at graduation","Percent","239","units","0","v90470007","3.3.5","","x","","","0"
"2000","Prince Edward Island","2016A000211","Master's","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v90470008","3.3.6","","x","","","0"
"2000","Prince Edward Island","2016A000211","Doctorate","Number of graduates","Number","223","units","0","v90470009","3.4.1","0","E","","","0"
"2000","Prince Edward Island","2016A000211","Doctorate","Women+","Percent","239","units","0","v90470010","3.4.2","","x","","","0"
"2000","Prince Edward Island","2016A000211","Doctorate","Average age at graduation","Years","308","units","0","v90470011","3.4.3","27","","","","0"
"2000","Prince Edward Island","2016A000211","Doctorate","Median age at graduation","Years","308","units","0","v90470012","3.4.4","","x","","","0"
"2000","Prince Edward Island","2016A000211","Doctorate","Under age 25 at graduation","Percent","239","units","0","v90470013","3.4.5","","x","","","0"
"2000","Prince Edward Island","2016A000211","Doctorate","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v90470014","3.4.6","","..","","","0"
"2000","Nova Scotia","2016A000212","College","Number of graduates","Number","223","units","0","v90470015","4.1.1","3800","","","","0"
"2000","Nova Scotia","2016A000212","College","Women+","Percent","239","units","0","v90470016","4.1.2","53","","","","0"
"2000","Nova Scotia","2016A000212","College","Average age at graduation","Years","308","units","0","v90470017","4.1.3","27","","","","0"
"2000","Nova Scotia","2016A000212","College","Median age at graduation","Years","308","units","0","v90470018","4.1.4","23","","","","0"
"2000","Nova Scotia","2016A000212","College","Under age 25 at graduation","Percent","239","units","0","v90470019","4.1.5","56","","","","0"
"2000","Nova Scotia","2016A000212","College","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v90470020","4.1.6","25","","","","0"
"2000","Nova Scotia","2016A000212","Bachelor's","Number of graduates","Number","223","units","0","v90470021","4.2.1","5400","","","","0"
"2000","Nova Scotia","2016A000212","Bachelor's","Women+","Percent","239","units","0","v90470022","4.2.2","62","","","","0"
