"REF_DATE","GEO","DGUID","Level of study","Gender","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Canada","2016A000011124","College","Total - Gender","25th percentile","Dollars","81","units","0","v88834060","1.1.1.1","24000","","","","0"
"2000","Canada","2016A000011124","College","Total - Gender","Median","Dollars","81","units","0","v88834061","1.1.1.2","31200","","","","0"
"2000","Canada","2016A000011124","College","Total - Gender","75th percentile","Dollars","81","units","0","v88834062","1.1.1.3","40000","","","","0"
"2000","Canada","2016A000011124","College","Men+","25th percentile","Dollars","81","units","0","v88834063","1.1.2.1","27000","","","","0"
"2000","Canada","2016A000011124","College","Men+","Median","Dollars","81","units","0","v88834064","1.1.2.2","35000","","","","0"
"2000","Canada","2016A000011124","College","Men+","75th percentile","Dollars","81","units","0","v88834065","1.1.2.3","44000","","","","0"
"2000","Canada","2016A000011124","College","Women+","25th percentile","Dollars","81","units","0","v88834066","1.1.3.1","22400","","","","0"
"2000","Canada","2016A000011124","College","Women+","Median","Dollars","81","units","0","v88834067","1.1.3.2","28600","","","","0"
"2000","Canada","2016A000011124","College","Women+","75th percentile","Dollars","81","units","0","v88834068","1.1.3.3","35600","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Total - Gender","25th percentile","Dollars","81","units","0","v88834069","1.2.1.1","31000","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Total - Gender","Median","Dollars","81","units","0","v88834070","1.2.1.2","39000","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Total - Gender","75th percentile","Dollars","81","units","0","v88834071","1.2.1.3","49000","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Men+","25th percentile","Dollars","81","units","0","v88834072","1.2.2.1","33600","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Men+","Median","Dollars","81","units","0","v88834073","1.2.2.2","42000","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Men+","75th percentile","Dollars","81","units","0","v88834074","1.2.2.3","54000","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Women+","25th percentile","Dollars","81","units","0","v88834075","1.2.3.1","30000","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Women+","Median","Dollars","81","units","0","v88834076","1.2.3.2","37000","","","","0"
